                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                  1.422,                0.70001,                 1.0012,                0.86928,                0.65282,                  0.733,                0.39948,                 1.3736,                 0.6151,                 0.9662,              0.0059775,              0.0059775,              0.0059775
                     46,                 1.4236,                0.69745,                 1.0056,                 0.8617,                0.64667,                0.72663,                0.39438,                 1.3753,                0.61442,                 0.9648,              0.0058244,              0.0058244,              0.0058244
                     47,                  1.429,                 0.7042,                 1.0055,                0.87541,                0.64643,                0.72969,                0.39899,                 1.3703,                0.61319,                0.96455,              0.0056704,              0.0056704,              0.0056704
                     48,                 1.4183,                0.69474,                 1.0007,                0.88109,                 0.6478,                0.73375,                0.40302,                  1.366,                0.60617,                0.96294,              0.0055158,              0.0055158,              0.0055158
                     49,                 1.4199,                0.69425,                 1.0065,                0.87183,                0.64935,                0.73088,                0.40156,                 1.3721,                0.60885,                0.96494,              0.0053608,              0.0053608,              0.0053608
                     50,                 1.4204,                 0.6944,                 1.0017,                0.87877,                0.64987,                0.73311,                0.40298,                 1.3612,                0.60386,                0.96415,              0.0052055,              0.0052055,              0.0052055
                     51,                 1.4053,                0.68506,                 1.0022,                0.87306,                0.65176,                0.73337,                0.40088,                 1.3583,                0.60232,                0.96182,                0.00505,                0.00505,                0.00505
                     52,                 1.4062,                 0.6867,                 0.9966,                0.86764,                0.65931,                0.73813,                0.40424,                 1.3622,                0.60185,                0.96365,              0.0048945,              0.0048945,              0.0048945
                     53,                 1.4012,                0.68276,                 1.0001,                0.87481,                0.65214,                0.73438,                0.40292,                 1.3639,                0.60182,                0.96288,              0.0047392,              0.0047392,              0.0047392
                     54,                  1.412,                0.68735,                0.99877,                0.88178,                 0.6528,                0.73698,                 0.4039,                 1.3675,                0.60023,                0.96401,              0.0045842,              0.0045842,              0.0045842
                     55,                 1.3939,                 0.6784,                 1.0007,                0.87881,                0.65362,                0.73829,                0.40655,                 1.3536,                0.59785,                0.96079,              0.0044296,              0.0044296,              0.0044296
                     56,                 1.4082,                0.68481,                 1.0004,                0.87941,                0.65522,                0.73775,                0.40357,                 1.3602,                0.59681,                0.96369,              0.0042756,              0.0042756,              0.0042756
                     57,                  1.393,                0.67445,                0.99893,                0.88012,                0.65863,                0.74042,                0.40769,                 1.3539,                0.59555,                0.96244,              0.0041225,              0.0041225,              0.0041225
                     58,                 1.3981,                0.67769,                0.99903,                0.87498,                0.65589,                0.73769,                0.40309,                  1.363,                0.60041,                 0.9645,              0.0039702,              0.0039702,              0.0039702
                     59,                 1.3967,                0.67759,                0.99662,                0.87402,                0.65592,                0.73753,                0.40236,                 1.3572,                0.59729,                0.96341,               0.003819,               0.003819,               0.003819
                     60,                 1.3938,                0.67404,                0.99666,                0.88159,                0.65331,                0.73995,                0.40675,                 1.3532,                0.59491,                0.96307,               0.003669,               0.003669,               0.003669
                     61,                 1.4025,                0.67569,                0.99486,                0.87013,                0.66241,                0.74026,                0.40679,                 1.3569,                0.59455,                0.96406,              0.0035204,              0.0035204,              0.0035204
                     62,                 1.3871,                0.66577,                0.99508,                 0.8768,                0.65718,                0.73878,                0.40496,                 1.3572,                0.59299,                0.96375,              0.0033732,              0.0033732,              0.0033732
                     63,                  1.386,                 0.6676,                0.99703,                 0.8779,                0.65503,                 0.7394,                0.40462,                 1.3591,                0.59318,                0.96338,              0.0032278,              0.0032278,              0.0032278
                     64,                  1.387,                0.66527,                0.99375,                0.87687,                0.65582,                0.73942,                0.40407,                 1.3638,                0.59455,                0.96514,              0.0030841,              0.0030841,              0.0030841
                     65,                 1.3836,                0.66578,                0.99166,                0.88423,                0.65518,                0.74034,                0.40363,                 1.3647,                0.59339,                0.96526,              0.0029424,              0.0029424,              0.0029424
